target_index,target,basis_index,basis,coefficient,pdeg,qdeg,train,holdout
5,"(-1, 1, 0, 0, 1, 1, 1)",6,"(0, 1, 0, 0, 1, 0, 2)",-(z - 4)/(2*(D - 3)*(D - 2)),1,2,29,6
6,"(-1, 1, 0, 1, 0, 1, 1)",0,"(0, 0, 0, 0, 0, 1, 1)",1680/(D**4 - 38*D**3 + 559*D**2 - 3882*D + 5040),0,4,29,6
6,"(-1, 1, 0, 1, 0, 1, 1)",2,"(0, 0, 0, 0, 1, 1, 1)",1680*(z - 4)/(D**4 - 38*D**3 + 559*D**2 - 3882*D + 5040),1,4,29,6
6,"(-1, 1, 0, 1, 0, 1, 1)",5,"(0, 1, 0, 0, 1, 0, 1)",1/2,0,0,29,6
6,"(-1, 1, 0, 1, 0, 1, 1)",6,"(0, 1, 0, 0, 1, 0, 2)",-(z - 4)/(2*(D - 3)),1,1,29,6
7,"(-1, 1, 0, 1, 1, 1, 1)",0,"(0, 0, 0, 0, 0, 1, 1)",(D - 2)**2/(2*z*(D - 4)*(D - 3)),2,3,29,6
7,"(-1, 1, 0, 1, 1, 1, 1)",2,"(0, 0, 0, 0, 1, 1, 1)",-1411200/(517*D**4 - 20486*D**3 + 319243*D**2 - 2416074*D + 5700240),0,4,29,6
7,"(-1, 1, 0, 1, 1, 1, 1)",4,"(0, 0, 0, 1, 1, 1, 1)",-2520/((D - 16)*(D**3 - 21*D**2 + 188*D - 420)),0,4,29,6
7,"(-1, 1, 0, 1, 1, 1, 1)",5,"(0, 1, 0, 0, 1, 0, 1)",(3*D - 8)/(z*(D - 4)),1,2,29,6
7,"(-1, 1, 0, 1, 1, 1, 1)",6,"(0, 1, 0, 0, 1, 0, 2)",(D*z + 4*D - 2*z - 12)/(z*(D - 4)*(D - 3)),2,3,29,6
8,"(-1, 1, 1, 0, 0, 1, 1)",0,"(0, 0, 0, 0, 0, 1, 1)",3780/(D**4 - 39*D**3 + 596*D**2 - 4404*D + 7560),0,4,29,6
8,"(-1, 1, 1, 0, 0, 1, 1)",7,"(0, 1, 1, 0, 0, 0, 1)",-135135/(8*D**4 - 300*D**3 + 4330*D**2 - 29175*D + 150822),0,4,29,6
9,"(-1, 1, 1, 0, 1, 0, 1)",1,"(0, 0, 0, 0, 1, 0, 1)",1680/(D**4 - 38*D**3 + 559*D**2 - 3882*D + 1680),0,4,29,6
9,"(-1, 1, 1, 0, 1, 0, 1)",6,"(0, 1, 0, 0, 1, 0, 2)",(D*z + 4*D - 2*z - 12)/((D - 2)*(3*D - 8)),2,2,29,6
9,"(-1, 1, 1, 0, 1, 0, 1)",8,"(0, 1, 1, 0, 1, 0, 1)",-4324320/(493*D**4 - 18273*D**3 + 259436*D**2 - 1704012*D + 6251616),0,4,29,6
10,"(-1, 1, 1, 0, 1, 1, 1)",0,"(0, 0, 0, 0, 0, 1, 1)",(D - 2)/(2*(D - 4)*(z - 4)),1,2,29,6
10,"(-1, 1, 1, 0, 1, 1, 1)",1,"(0, 0, 0, 0, 1, 0, 1)",(D - 2)/(2*(D - 4)*(z - 4)),1,2,29,6
10,"(-1, 1, 1, 0, 1, 1, 1)",2,"(0, 0, 0, 0, 1, 1, 1)",-(-4*D**2 + D*z + 20*D - 4*z - 20)/(2*(D - 4)*(D - 3)*(z - 4)),2,3,29,6
10,"(-1, 1, 1, 0, 1, 1, 1)",6,"(0, 1, 0, 0, 1, 0, 2)",360/(D**4 - 36*D**3 + 491*D**2 - 2676*D + 7020),0,4,29,6
10,"(-1, 1, 1, 0, 1, 1, 1)",8,"(0, 1, 1, 0, 1, 0, 1)",-5040/(D**4 - 37*D**3 + 524*D**2 - 3428*D + 11760),0,4,29,6
12,"(-1, 1, 1, 1, 0, 0, 1)",7,"(0, 1, 1, 0, 0, 0, 1)",1,0,0,29,6
12,"(-1, 1, 1, 1, 0, 0, 1)",9,"(0, 1, 1, 1, 0, 0, 1)",5040*(z - 4)/(D**4 - 37*D**3 + 524*D**2 - 3428*D + 16800),1,4,29,6
18,"(0, 0, 1, 0, 0, 1, 1)",0,"(0, 0, 0, 0, 0, 1, 1)",3360/(D**4 - 38*D**3 + 559*D**2 - 3882*D + 5040),0,4,29,6
19,"(0, 0, 1, 0, 1, 0, 1)",1,"(0, 0, 0, 0, 1, 0, 1)",3360/(D**4 - 38*D**3 + 559*D**2 - 3882*D + 5040),0,4,29,6
20,"(0, 0, 1, 0, 1, 1, 1)",0,"(0, 0, 0, 0, 0, 1, 1)",(D - 2)/(2*(D - 4)*(z - 4)),1,2,29,6
20,"(0, 0, 1, 0, 1, 1, 1)",1,"(0, 0, 0, 0, 1, 0, 1)",(D - 2)/(2*(D - 4)*(z - 4)),1,2,29,6
20,"(0, 0, 1, 0, 1, 1, 1)",2,"(0, 0, 0, 0, 1, 1, 1)",2*(D - 3)/((D - 4)*(z - 4)),1,2,29,6
21,"(0, 0, 1, 1, 0, 1, 1)",2,"(0, 0, 0, 0, 1, 1, 1)",3360/(D**4 - 38*D**3 + 559*D**2 - 3882*D + 5040),0,4,29,6
22,"(0, 0, 1, 1, 1, 1, 1)",2,"(0, 0, 0, 0, 1, 1, 1)",(D - 2)/((D - 4)*(z - 4)),1,2,29,6
22,"(0, 0, 1, 1, 1, 1, 1)",4,"(0, 0, 0, 1, 1, 1, 1)",2*(D - 3)/((D - 4)*(z - 4)),1,2,29,6
23,"(0, 1, 0, -1, 1, 1, 1)",0,"(0, 0, 0, 0, 0, 1, 1)",-1/(2*(D - 3)),0,1,29,6
23,"(0, 1, 0, -1, 1, 1, 1)",2,"(0, 0, 0, 0, 1, 1, 1)",z/2,1,0,29,6
23,"(0, 1, 0, -1, 1, 1, 1)",5,"(0, 1, 0, 0, 1, 0, 1)",-135135/(8*D**4 - 300*D**3 + 4330*D**2 - 29175*D + 150822),0,4,29,6
23,"(0, 1, 0, -1, 1, 1, 1)",6,"(0, 1, 0, 0, 1, 0, 2)",(z - 4)/(D - 2),1,1,29,6
24,"(0, 1, 0, 0, 0, 1, 1)",0,"(0, 0, 0, 0, 0, 1, 1)",3360/(D**4 - 38*D**3 + 559*D**2 - 3882*D + 5040),0,4,29,6
27,"(0, 1, 0, 0, 1, 1, 1)",2,"(0, 0, 0, 0, 1, 1, 1)",3360/(D**4 - 38*D**3 + 559*D**2 - 3882*D + 5040),0,4,29,6
27,"(0, 1, 0, 0, 1, 1, 1)",6,"(0, 1, 0, 0, 1, 0, 2)",-1/(D - 3),0,1,29,6
28,"(0, 1, 0, 1, 1, 1, 1)",0,"(0, 0, 0, 0, 0, 1, 1)",-(D**3 - 33*D**2 - 1948*D + 660)/(180*z*(13*D - 53)*(z - 4)),3,3,29,6
28,"(0, 1, 0, 1, 1, 1, 1)",2,"(0, 0, 0, 0, 1, 1, 1)",2*(D - 2)/((D - 4)*(z - 4)),1,2,29,6
28,"(0, 1, 0, 1, 1, 1, 1)",4,"(0, 0, 0, 1, 1, 1, 1)",2*(D - 3)/((D - 4)*(z - 4)),1,2,29,6
28,"(0, 1, 0, 1, 1, 1, 1)",5,"(0, 1, 0, 0, 1, 0, 1)",2*(3*D - 8)/(z*(D - 4)*(z - 4)),1,3,29,6
28,"(0, 1, 0, 1, 1, 1, 1)",6,"(0, 1, 0, 0, 1, 0, 2)",4*(z + 2)/(z*(D - 4)*(z - 4)),1,3,29,6
33,"(0, 1, 1, 0, 0, 1, 1)",0,"(0, 0, 0, 0, 0, 1, 1)",-1411200/(937*D**4 - 36446*D**3 + 554023*D**2 - 4046514*D + 7817040),0,4,29,6
33,"(0, 1, 1, 0, 0, 1, 1)",7,"(0, 1, 1, 0, 0, 0, 1)",-217360/(27*D**4 - 1008*D**3 + 14457*D**2 - 96448*D - 19860),0,4,29,6
34,"(0, 1, 1, 0, 1, -1, 1)",1,"(0, 0, 0, 0, 1, 0, 1)",1411200/(1357*D**4 - 52406*D**3 + 788803*D**2 - 5676954*D + 9933840),0,4,29,6
34,"(0, 1, 1, 0, 1, -1, 1)",5,"(0, 1, 0, 0, 1, 0, 1)",1,0,0,29,6
34,"(0, 1, 1, 0, 1, -1, 1)",6,"(0, 1, 0, 0, 1, 0, 2)",-2*(z - 2)/(3*D - 8),1,1,29,6
34,"(0, 1, 1, 0, 1, -1, 1)",8,"(0, 1, 1, 0, 1, 0, 1)",10080/(D**4 - 37*D**3 + 524*D**2 - 3428*D + 16800),0,4,29,6
37,"(0, 1, 1, 0, 1, 1, 1)",0,"(0, 0, 0, 0, 0, 1, 1)",-(D - 2)**2/(4*(D - 4)*(D - 3)*(z - 4)),2,3,29,6
37,"(0, 1, 1, 0, 1, 1, 1)",1,"(0, 0, 0, 0, 1, 0, 1)",-(D - 2)**2/(4*(D - 4)*(2*D - 7)*(z - 4)),2,3,29,6
37,"(0, 1, 1, 0, 1, 1, 1)",2,"(0, 0, 0, 0, 1, 1, 1)",-(D - 2)/((D - 4)*(z - 4)),1,2,29,6
37,"(0, 1, 1, 0, 1, 1, 1)",5,"(0, 1, 0, 0, 1, 0, 1)",-(3*D - 8)/(2*(2*D - 7)*(z - 4)),1,2,29,6
37,"(0, 1, 1, 0, 1, 1, 1)",6,"(0, 1, 0, 0, 1, 0, 2)",-(z + 2)/((2*D - 7)*(z - 4)),1,2,29,6
37,"(0, 1, 1, 0, 1, 1, 1)",8,"(0, 1, 1, 0, 1, 0, 1)",-209440/(27*D**4 - 990*D**3 + 13845*D**2 - 88850*D - 48272),0,4,29,6
